filename,width,height,class,xmin,ymin,xmax,ymax
0486052bb_10050_3815.tiff,118,123,glomeruli,427,279,545,402
0486052bb_10050_4360.tiff,92,125,glomeruli,0,277,92,402
0486052bb_10050_4360.tiff,193,167,glomeruli,307,108,500,275
0486052bb_10050_4905.tiff,106,79,glomeruli,117,218,223,297
0486052bb_10050_4905.tiff,121,126,glomeruli,424,74,545,200
0486052bb_10050_5450.tiff,30,98,glomeruli,0,83,30,181
0486052bb_10050_5995.tiff,198,155,glomeruli,69,71,267,226
0486052bb_10050_6540.tiff,204,153,glomeruli,236,195,440,348
0486052bb_10452_3270.tiff,216,202,glomeruli,287,178,503,380
0486052bb_10452_3815.tiff,118,66,glomeruli,427,0,545,66
0486052bb_10452_4360.tiff,131,35,glomeruli,234,367,365,402
0486052bb_10452_4360.tiff,118,106,glomeruli,163,147,281,253
0486052bb_10452_4360.tiff,88,70,glomeruli,0,0,88,70
0486052bb_10452_5450.tiff,120,77,glomeruli,253,325,373,402
0486052bb_10854_4360.tiff,91,13,glomeruli,300,389,391,402
0486052bb_10854_4360.tiff,162,126,glomeruli,225,0,387,126
0486052bb_10854_4905.tiff,149,87,glomeruli,377,222,526,309
0486052bb_10854_5450.tiff,116,46,glomeruli,254,0,370,46
0486052bb_11256_4360.tiff,175,107,glomeruli,270,0,445,107
0486052bb_1206_10355.tiff,172,149,glomeruli,312,253,484,402
0486052bb_1206_10900.tiff,13,80,glomeruli,532,278,545,358
0486052bb_1206_10900.tiff,182,146,glomeruli,231,256,413,402
0486052bb_1206_11445.tiff,136,191,glomeruli,0,211,136,402
0486052bb_1206_11445.tiff,117,78,glomeruli,94,0,211,78
0486052bb_1206_11990.tiff,12,78,glomeruli,533,239,545,317
0486052bb_1206_12535.tiff,152,193,glomeruli,0,176,152,369
0486052bb_1206_13625.tiff,93,103,glomeruli,452,299,545,402
0486052bb_1206_14170.tiff,97,107,glomeruli,0,295,97,402
0486052bb_1206_14170.tiff,161,168,glomeruli,124,168,285,336
0486052bb_1206_15260.tiff,160,165,glomeruli,25,46,185,211
0486052bb_1206_4360.tiff,93,37,glomeruli,165,365,258,402
0486052bb_1206_4905.tiff,167,152,glomeruli,9,250,176,402
0486052bb_1206_4905.tiff,111,139,glomeruli,434,0,545,139
0486052bb_1206_4905.tiff,106,26,glomeruli,296,0,402,26
0486052bb_1206_5450.tiff,175,176,glomeruli,3,183,178,359
0486052bb_1206_5450.tiff,190,87,glomeruli,301,0,491,87
0486052bb_1206_5450.tiff,33,108,glomeruli,0,0,33,108
0486052bb_1206_6540.tiff,137,176,glomeruli,60,204,197,380
0486052bb_1206_7085.tiff,44,65,glomeruli,501,0,545,65
0486052bb_1206_7085.tiff,130,88,glomeruli,261,0,391,88
0486052bb_1206_7630.tiff,179,128,glomeruli,269,0,448,128
0486052bb_1206_7630.tiff,57,65,glomeruli,0,0,57,65
0486052bb_1206_8175.tiff,68,118,glomeruli,477,284,545,402
0486052bb_1206_8175.tiff,14,49,glomeruli,531,0,545,49
0486052bb_1206_8720.tiff,132,94,glomeruli,239,308,371,402
0486052bb_1206_8720.tiff,58,116,glomeruli,0,286,58,402
0486052bb_1206_8720.tiff,183,90,glomeruli,0,0,183,90
0486052bb_1206_9265.tiff,182,123,glomeruli,18,279,200,402
0486052bb_1206_9265.tiff,81,94,glomeruli,249,0,330,94
0486052bb_1206_9810.tiff,114,69,glomeruli,92,333,206,402
0486052bb_1608_10355.tiff,88,32,glomeruli,321,0,409,32
0486052bb_1608_10900.tiff,136,147,glomeruli,14,62,150,209
0486052bb_1608_10900.tiff,154,52,glomeruli,236,0,390,52
0486052bb_1608_11445.tiff,83,150,glomeruli,462,226,545,376
0486052bb_1608_11445.tiff,16,5,glomeruli,57,0,73,5
0486052bb_1608_11990.tiff,69,136,glomeruli,0,225,69,361
0486052bb_1608_11990.tiff,138,168,glomeruli,259,10,397,178
0486052bb_1608_13080.tiff,149,166,glomeruli,354,150,503,316
0486052bb_1608_13625.tiff,179,171,glomeruli,159,231,338,402
0486052bb_1608_13625.tiff,92,82,glomeruli,453,0,545,82
0486052bb_1608_14170.tiff,22,114,glomeruli,523,88,545,202
0486052bb_1608_14170.tiff,86,73,glomeruli,0,0,86,73
0486052bb_1608_14715.tiff,149,198,glomeruli,396,199,545,397
0486052bb_1608_14715.tiff,151,182,glomeruli,0,52,151,234
0486052bb_1608_15260.tiff,20,96,glomeruli,0,261,20,357
0486052bb_1608_4360.tiff,32,151,glomeruli,513,139,545,290
0486052bb_1608_4360.tiff,207,189,glomeruli,60,0,267,189
0486052bb_1608_4905.tiff,163,155,glomeruli,229,194,392,349
0486052bb_1608_4905.tiff,124,191,glomeruli,0,108,124,299
0486052bb_1608_4905.tiff,84,21,glomeruli,39,0,123,21
0486052bb_1608_6540.tiff,98,114,glomeruli,54,118,152,232
0486052bb_1608_6540.tiff,165,199,glomeruli,348,32,513,231
0486052bb_1608_8175.tiff,146,128,glomeruli,70,11,216,139
0486052bb_1608_8175.tiff,44,12,glomeruli,499,0,543,12
0486052bb_1608_8720.tiff,118,53,glomeruli,248,0,366,53
0486052bb_1608_9265.tiff,153,41,glomeruli,20,0,173,41
0486052bb_1608_9810.tiff,106,46,glomeruli,98,0,204,46
0486052bb_2010_10355.tiff,153,218,glomeruli,147,64,300,282
0486052bb_2010_10900.tiff,66,105,glomeruli,479,144,545,249
0486052bb_2010_11445.tiff,59,105,glomeruli,0,144,59,249
0486052bb_2010_11445.tiff,157,181,glomeruli,127,8,284,189
0486052bb_2010_11990.tiff,188,160,glomeruli,357,51,545,211
0486052bb_2010_13625.tiff,132,156,glomeruli,38,149,170,305
0486052bb_2010_13625.tiff,127,36,glomeruli,189,0,316,36
0486052bb_2010_14715.tiff,210,206,glomeruli,13,195,223,401
0486052bb_2010_15805.tiff,13,11,glomeruli,114,22,127,33
0486052bb_2010_4905.tiff,119,33,glomeruli,58,369,177,402
0486052bb_2010_7085.tiff,119,40,glomeruli,342,362,461,402
0486052bb_2010_7630.tiff,7,99,glomeruli,538,119,545,218
0486052bb_2010_8175.tiff,114,173,glomeruli,0,81,114,254
0486052bb_2412_10355.tiff,60,94,glomeruli,42,148,102,242
0486052bb_2412_10355.tiff,165,192,glomeruli,203,134,368,326
0486052bb_2412_10355.tiff,154,178,glomeruli,385,27,539,205
0486052bb_2412_12535.tiff,142,195,glomeruli,286,38,428,233
0486052bb_2412_13625.tiff,89,108,glomeruli,352,145,441,253
0486052bb_2412_14170.tiff,174,179,glomeruli,106,24,280,203
0486052bb_2412_4905.tiff,149,176,glomeruli,203,60,352,236
0486052bb_2412_4905.tiff,166,118,glomeruli,39,0,205,118
0486052bb_2412_5995.tiff,65,23,glomeruli,256,379,321,402
0486052bb_2412_7085.tiff,126,142,glomeruli,419,260,545,402
0486052bb_2412_7085.tiff,153,128,glomeruli,319,0,472,128
0486052bb_2814_3815.tiff,146,128,glomeruli,236,206,382,334
0486052bb_2814_4905.tiff,19,19,glomeruli,526,383,545,402
0486052bb_2814_4905.tiff,159,64,glomeruli,21,338,180,402
0486052bb_2814_4905.tiff,58,141,glomeruli,487,198,545,339
0486052bb_2814_4905.tiff,161,204,glomeruli,192,189,353,393
0486052bb_2814_5450.tiff,136,52,glomeruli,0,350,136,402
0486052bb_2814_5450.tiff,82,147,glomeruli,0,194,82,341
0486052bb_2814_5450.tiff,167,153,glomeruli,12,0,179,153
0486052bb_2814_5995.tiff,95,113,glomeruli,230,0,325,113
0486052bb_2814_6540.tiff,157,136,glomeruli,181,266,338,402
0486052bb_2814_7085.tiff,157,177,glomeruli,11,167,168,344
0486052bb_2814_7085.tiff,39,7,glomeruli,446,0,485,7
0486052bb_3216_2725.tiff,28,109,glomeruli,517,190,545,299
0486052bb_3216_3270.tiff,125,155,glomeruli,0,154,125,309
0486052bb_3216_3815.tiff,133,129,glomeruli,362,109,495,238
0486052bb_3216_3815.tiff,196,172,glomeruli,35,49,231,221
0486052bb_3216_4905.tiff,46,103,glomeruli,499,0,545,103
0486052bb_3216_4905.tiff,174,111,glomeruli,8,0,182,111
0486052bb_3216_5450.tiff,68,144,glomeruli,477,71,545,215
0486052bb_3216_5450.tiff,133,103,glomeruli,0,0,133,103
0486052bb_3216_5995.tiff,88,164,glomeruli,0,60,88,224
0486052bb_3216_6540.tiff,107,27,glomeruli,207,0,314,27
0486052bb_3618_3270.tiff,139,34,glomeruli,212,368,351,402
0486052bb_3618_4905.tiff,220,177,glomeruli,317,225,537,402
0486052bb_4020_3270.tiff,212,128,glomeruli,195,274,407,402
0486052bb_4020_3270.tiff,177,152,glomeruli,193,0,370,152
0486052bb_4020_4905.tiff,142,151,glomeruli,219,84,361,235
0486052bb_4422_1635.tiff,7,2,glomeruli,352,400,359,402
0486052bb_4422_1635.tiff,110,43,glomeruli,379,359,489,402
0486052bb_4422_1635.tiff,68,177,glomeruli,477,225,545,402
0486052bb_4422_2180.tiff,90,22,glomeruli,153,380,243,402
0486052bb_4422_2180.tiff,104,183,glomeruli,0,219,104,402
0486052bb_4422_3270.tiff,155,133,glomeruli,388,254,543,387
0486052bb_4422_3270.tiff,189,76,glomeruli,195,0,384,76
0486052bb_4824_1635.tiff,39,27,glomeruli,506,0,545,27
0486052bb_4824_1635.tiff,172,160,glomeruli,336,0,508,160
0486052bb_4824_2180.tiff,166,168,glomeruli,228,185,394,353
0486052bb_4824_2180.tiff,152,133,glomeruli,128,0,280,133
0486052bb_4824_2180.tiff,62,28,glomeruli,0,0,62,28
0486052bb_4824_3815.tiff,94,144,glomeruli,451,171,545,315
0486052bb_4824_4360.tiff,120,168,glomeruli,425,192,545,360
0486052bb_4824_4360.tiff,103,159,glomeruli,0,166,103,325
0486052bb_4824_4905.tiff,110,44,glomeruli,435,358,545,402
0486052bb_4824_4905.tiff,55,162,glomeruli,0,199,55,361
0486052bb_4824_5450.tiff,19,29,glomeruli,0,373,19,402
0486052bb_5226_2725.tiff,115,89,glomeruli,259,313,374,402
0486052bb_5226_2725.tiff,133,149,glomeruli,351,64,484,213
0486052bb_5226_3270.tiff,146,165,glomeruli,399,147,545,312
0486052bb_5226_3815.tiff,54,115,glomeruli,0,158,54,273
0486052bb_5226_4905.tiff,117,119,glomeruli,428,0,545,119
0486052bb_5226_5450.tiff,24,107,glomeruli,0,0,24,107
0486052bb_5628_2725.tiff,31,2,glomeruli,280,0,311,2
0486052bb_5628_3270.tiff,4,15,glomeruli,541,387,545,402
0486052bb_5628_3270.tiff,139,118,glomeruli,250,284,389,402
0486052bb_5628_3815.tiff,190,70,glomeruli,0,332,190,402
0486052bb_5628_3815.tiff,139,147,glomeruli,406,255,545,402
0486052bb_5628_4360.tiff,92,145,glomeruli,0,253,92,398
0486052bb_5628_4905.tiff,137,72,glomeruli,220,330,357,402
0486052bb_5628_4905.tiff,124,135,glomeruli,421,267,545,402
0486052bb_5628_5450.tiff,42,124,glomeruli,0,278,42,402
0486052bb_6030_2725.tiff,118,29,glomeruli,427,373,545,402
0486052bb_6030_2725.tiff,114,104,glomeruli,283,261,397,365
0486052bb_6030_3270.tiff,16,12,glomeruli,0,390,16,402
0486052bb_6030_3270.tiff,3,19,glomeruli,542,0,545,19
0486052bb_6030_3270.tiff,93,21,glomeruli,276,0,369,21
0486052bb_6030_3815.tiff,193,161,glomeruli,341,8,534,169
0486052bb_6030_3815.tiff,191,91,glomeruli,0,0,191,91
0486052bb_6030_4905.tiff,102,43,glomeruli,443,0,545,43
0486052bb_6030_4905.tiff,135,63,glomeruli,221,0,356,63
0486052bb_6030_5450.tiff,22,26,glomeruli,0,0,22,26
0486052bb_6432_2725.tiff,158,153,glomeruli,387,0,545,153
0486052bb_6432_3270.tiff,43,117,glomeruli,0,0,43,117
0486052bb_6834_2725.tiff,210,75,glomeruli,317,327,527,402
0486052bb_6834_2725.tiff,92,161,glomeruli,453,186,545,347
0486052bb_6834_2725.tiff,9,44,glomeruli,536,47,545,91
0486052bb_6834_3270.tiff,88,156,glomeruli,0,191,88,347
0486052bb_6834_3270.tiff,84,66,glomeruli,0,38,84,104
0486052bb_7236_2725.tiff,219,100,glomeruli,308,0,527,100
0486052bb_7638_3815.tiff,157,52,glomeruli,363,350,520,402
0486052bb_8040_3815.tiff,149,167,glomeruli,32,45,181,212
0486052bb_8040_3815.tiff,163,116,glomeruli,362,0,525,116
0486052bb_8040_4360.tiff,139,175,glomeruli,364,54,503,229
0486052bb_8040_4905.tiff,156,29,glomeruli,224,373,380,402
0486052bb_8040_4905.tiff,165,147,glomeruli,174,59,339,206
0486052bb_804_11445.tiff,71,11,glomeruli,121,391,192,402
0486052bb_804_4905.tiff,67,12,glomeruli,478,390,545,402
0486052bb_804_4905.tiff,189,152,glomeruli,289,250,478,402
0486052bb_804_5450.tiff,13,9,glomeruli,0,393,13,402
0486052bb_804_5450.tiff,194,81,glomeruli,305,321,499,402
0486052bb_804_7085.tiff,80,14,glomeruli,289,388,369,402
0486052bb_804_7085.tiff,30,27,glomeruli,515,375,545,402
0486052bb_804_7630.tiff,103,23,glomeruli,310,379,413,402
0486052bb_804_7630.tiff,53,32,glomeruli,0,370,53,402
0486052bb_804_8175.tiff,14,56,glomeruli,531,346,545,402
0486052bb_804_8720.tiff,186,84,glomeruli,0,318,186,402
0486052bb_804_9265.tiff,24,6,glomeruli,279,396,303,402
0486052bb_804_9265.tiff,205,156,glomeruli,27,236,232,392
0486052bb_8442_2725.tiff,79,168,glomeruli,466,10,545,178
0486052bb_8442_3270.tiff,70,162,glomeruli,0,14,70,176
0486052bb_8442_4360.tiff,193,136,glomeruli,226,266,419,402
0486052bb_8442_4360.tiff,8,61,glomeruli,537,130,545,191
