filename,img_size,target,xmin,ymin,xmax,ymax,boxes,scores,original_filename,original_size
26dc41664_10132_1322.tiff,"(596, 661)",0,630.2668,312.7975,660.674,461.6491,"[630.2668, 312.7975, 660.674, 461.6491]",0.9509,26dc41664,"(38160, 42360)"
26dc41664_10132_13220.tiff,"(596, 661)",0,312.5899,256.57,518.7542,445.807,"[312.5899, 256.57, 518.7542, 445.807]",0.985,26dc41664,"(38160, 42360)"
26dc41664_10132_13881.tiff,"(596, 661)",0,560.76,104.6,659.35,320.72,"[560.76, 104.6, 659.35, 320.72]",0.9953,26dc41664,"(38160, 42360)"
26dc41664_10132_13881.tiff,"(596, 661)",1,304.91,291.88,464.35,421.01,"[304.91, 291.88, 464.35, 421.01]",0.992,26dc41664,"(38160, 42360)"
26dc41664_10132_13881.tiff,"(596, 661)",2,3.0319,69.226,130.91,314.87,"[3.0319, 69.226, 130.91, 314.87]",0.9106,26dc41664,"(38160, 42360)"
26dc41664_10132_14542.tiff,"(596, 661)",0,0.0,115.7061,139.6929,316.9232,"[0.0, 115.7061, 139.6929, 316.9232]",0.9832,26dc41664,"(38160, 42360)"
26dc41664_10132_15203.tiff,"(596, 661)",0,238.0342,89.8419,459.9461,284.308,"[238.0342, 89.8419, 459.9461, 284.308]",0.9964,26dc41664,"(38160, 42360)"
26dc41664_10132_16525.tiff,"(596, 661)",0,315.1032,527.9118,540.7087,595.5145,"[315.1032, 527.9118, 540.7087, 595.5145]",0.951,26dc41664,"(38160, 42360)"
26dc41664_10132_17847.tiff,"(596, 661)",0,211.731,252.49,418.7977,425.9188,"[211.731, 252.49, 418.7977, 425.9188]",0.9943,26dc41664,"(38160, 42360)"
26dc41664_10132_17847.tiff,"(596, 661)",1,105.11,543.1493,252.5496,596.0,"[105.11, 543.1493, 252.5496, 596.0]",0.964,26dc41664,"(38160, 42360)"
26dc41664_10132_18508.tiff,"(596, 661)",0,84.8363,118.192,321.5569,370.1301,"[84.8363, 118.192, 321.5569, 370.1301]",0.9963,26dc41664,"(38160, 42360)"
